Content,EventTemplate
psu failure\ ambient=28,psu failure\ ambient=<*>
psu failure\ ambient=31,psu failure\ ambient=<*>
Temperature (41C) exceeds warning threshold,Temperature (<*>C) exceeds warning threshold
ClusterFileSystem: There is no server for ServerFileSystem domain storage234,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1024,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1534,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage131,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage444,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1644,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage242,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage1031,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage622,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage112,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage142,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage832,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
ClusterFileSystem: There is no server for ServerFileSystem domain storage321,ClusterFileSystem: There is no server for ServerFileSystem domain storage<*>
NIFF: node node-69 detected a failed network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
NIFF: node node-162 detected a failed network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> detected a failed network connection on network <*> via interface alt0
ServerFileSystem: An ServerFileSystem domain panic has occurred on storage442,ServerFileSystem: An ServerFileSystem domain panic has occurred on <*>
Fan speeds ( 3552 3534 3375 11637 3515 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Fan speeds ( 3552 3534 3375 4166 3515 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Fan speeds ( 3552 3534 3375 4192 3515 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Fan speeds ( 3552 3552 3391 **** 3515 3497 ),Fan speeds ( <*> <*> <*> **** <*> <*> )
Fan speeds ( 3534 3534 3375 **** 3497 3479 ),Fan speeds ( <*> <*> <*> **** <*> <*> )
Fan speeds ( 3534 3534 3375 4272 3497 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Fan speeds ( 3534 3534 3375 4470 3497 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Fan speeds ( 3534 3534 3375 4115 3497 3479 ),Fan speeds ( <*> <*> <*> <*> <*> <*> )
Command has been aborted,Command has been aborted
power/control problem,power/control problem
Link error,Link error
Link in reset,Link in reset
Link ok,Link ok
Link error on broadcast tree Interconnect-0T00:00:2:1,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
Link error on broadcast tree Interconnect-1T00:00:3:6,Link error on broadcast tree Interconnect-<*>:<*>:<*>:<*>
ServerFileSystem: ServerFileSystem domain root14_local is full,ServerFileSystem: ServerFileSystem domain <*> is full
ServerFileSystem: ServerFileSystem domain root22_local is full,ServerFileSystem: ServerFileSystem domain <*> is full
ServerFileSystem: ServerFileSystem domain root26_tmp is full,ServerFileSystem: ServerFileSystem domain <*> is full
ServerFileSystem: ServerFileSystem domain root7_local is full,ServerFileSystem: ServerFileSystem domain <*> is full
ServerFileSystem: ServerFileSystem domain root1_local is full,ServerFileSystem: ServerFileSystem domain <*> is full
ClusterFileSystem: ServerFileSystem domain cluster_root_backup is no longer served by node node-96,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root9_domain is no longer served by node node-224,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root26_domain is no longer served by node node-57,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root29_local is no longer served by node node-28,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root5_domain is no longer served by node node-196,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root5_tmp is no longer served by node node-228,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage1422 is no longer served by node node-245,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage343 is no longer served by node node-11,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root19_domain is no longer served by node node-114,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage534 is no longer served by node node-18,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root12_tmp is no longer served by node node-11,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root23_local is no longer served by node node-182,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root14_tmp is no longer served by node node-45,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain storage211 is no longer served by node node-4,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root8_domain is no longer served by node node-167,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root25_local is no longer served by node node-216,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain cluster_usr_backup is no longer served by node node-160,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root_domain is no longer served by node node-128,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root24_local is no longer served by node node-247,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root18_tmp is no longer served by node node-241,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root17_domain is no longer served by node node-240,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain sc_cluster_backup is no longer served by node node-0,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain cluster_var_backup is no longer served by node node-224,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
ClusterFileSystem: ServerFileSystem domain root28_domain is no longer served by node node-219,ClusterFileSystem: ServerFileSystem domain <*> is no longer served by node node-<*>
running,running
blocked,blocked
configured out,configured out
inconsistent nodesets node-160 0x0001edfe <ok> node-161 0x1001fdfe <ok> node-162 0x1001fdfe <ok> node-163 0x1001fdfe <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>
active,active
inconsistent nodesets node-32 0x00000002 <ok> node-34 0x000001fe <ok> node-33 0x000001fe <ok> node-35 0x000001fe <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>
not responding,not responding
not-responding,not-responding
inconsistent nodesets node-1 0x000001fc <ok> node-2 0x000001fc <ok> node-7 0x000001fc <ok> node-4 0x000001fc <ok> node-6 0x000001fc <ok> node-5 0x000001fc <ok> node-3 0x000001fc <ok> node-14 0x0003fdfc <ok> node-13 0x0003fdfc <ok> node-12 0x0003fdfc <ok> node-10 0x0003fdfc <ok> node-16 0x0003fdfc <ok> node-15 0x0003fdfc <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>
starting,starting
closing,closing
inconsistent nodesets node-31 0x1fffffffe <ok> node-0 0xfffffffe <ok> node-1 0xfffffffe <ok> node-2 0xfffffffe <ok> node-30 0xfffffffe <ok>,inconsistent nodesets node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok> node-<*> <*> <ok><*>
ambient=30,ambient=<*>
critical,critical
ambient=29,ambient=<*>
ambient=26,ambient=<*>
ambient=32,ambient=<*>
ambient=33,ambient=<*>
warning,warning
ambient=27,ambient=<*>
ambient=34,ambient=<*>
ambient=35,ambient=<*>
ambient=36,ambient=<*>
ambient=25,ambient=<*>
normal,normal
ambient=23,ambient=<*>
ambient=24,ambient=<*>
ambient=37,ambient=<*>
risBoot (command 1903) Error: Timed out while waiting for SRM prompt: <ABORT code completed>,risBoot (command <*>) Error: Timed out while waiting for SRM prompt: <ABORT code completed>
Linkerror event interval expired,Linkerror event interval expired
boot (command 2092) Error: HALT asserted\  cannot continue,boot (command <*>) Error: HALT asserted\  cannot continue
Failed subcommands 3406,Failed subcommands <*>
link errors remain current,link errors remain current
NIFF: node node-120 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-252 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-163 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-186 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-205 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-155 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-9 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-237 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-208 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-157 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-84 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-214 has detected an available network connection on network 5.5.226.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-234 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-130 has detected an available network connection on network 10.96.0.0 via interface scip0,NIFF: node node-<*> has detected an available network connection on network <*> via interface scip0
NIFF: node node-151 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-255 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-87 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-72 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-104 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-193 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-139 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-106 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-233 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-46 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-91 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-144 has detected an available network connection on network 10.96.0.0 via interface scip0,NIFF: node node-<*> has detected an available network connection on network <*> via interface scip0
NIFF: node node-17 has detected an available network connection on network 0.0.0.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-202 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
NIFF: node node-183 has detected an available network connection on network 10.128.0.0 via interface ee0,NIFF: node node-<*> has detected an available network connection on network <*> via interface ee0
NIFF: node node-221 has detected an available network connection on network 5.5.224.0 via interface alt0,NIFF: node node-<*> has detected an available network connection on network <*> via interface alt0
