Content,EventTemplate
Failed password for root from 191.210.223.172 port 31473 ssh2,Failed password for <*> from <*> port <*> ssh2
Connection closed by 191.210.223.172 [preauth],Connection closed by <*> [preauth]
Did not receive identification string from 195.154.37.122,Did not receive identification string from <*>
reverse mapping checking getaddrinfo for 195-154-37-122.rev.poneytelecom.eu [195.154.37.122] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
error: Received disconnect from 195.154.37.122: 3: com.jcraft.jsch.JSchException: Auth fail [preauth],error: Received disconnect from <*>: <*>: com.jcraft.jsch.JSchException: Auth fail [preauth]
Failed password for uucp from 195.154.37.122 port 59266 ssh2,Failed password for <*> from <*> port <*> ssh2
Connection closed by 194.190.163.22 [preauth],Connection closed by <*> [preauth]
Did not receive identification string from 103.207.39.165,Did not receive identification string from <*>
Failed password for invalid user support from 103.207.39.165 port 58158 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Received disconnect from 103.207.39.165: 11: Closed due to user request. [preauth],Received disconnect from <*>: <*>: Closed due to user request. [preauth]
Invalid user inspur from 175.102.13.6,Invalid user <*> from <*>
Failed password for invalid user inspur from 175.102.13.6 port 47130 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Received disconnect from 175.102.13.6: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
Invalid user  0101 from 5.188.10.180,Invalid user <*> from <*>
input_userauth_request: invalid user  0101 [preauth],input_userauth_request: invalid user <*> [preauth]
Connection closed by 5.188.10.180 [preauth],Connection closed by <*> [preauth]
Invalid user 0 from 5.188.10.180,Invalid user <*> from <*>
Failed none for invalid user 0 from 5.188.10.180 port 49811 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2
input_userauth_request: invalid user 1234 [preauth],input_userauth_request: invalid user <*> [preauth]
Failed none for invalid user admin from 5.188.10.180 port 52631 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2
PAM service(sshd) ignoring max retries; 5 > 3,PAM service(sshd) ignoring max retries; <*> > <*>
Invalid user default from 5.188.10.180,Invalid user <*> from <*>
input_userauth_request: invalid user default [preauth],input_userauth_request: invalid user <*> [preauth]
PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180,PAM <*> more authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=5.188.10.180  user=ftp,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
Failed password for ftp from 5.188.10.180 port 54715 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user guest from 5.188.10.180,Invalid user <*> from <*>
input_userauth_request: invalid user guest [preauth],input_userauth_request: invalid user <*> [preauth]
Did not receive identification string from 5.188.10.180,Did not receive identification string from <*>
Did not receive identification string from 103.207.39.212,Did not receive identification string from <*>
Failed password for uucp from 103.207.39.212 port 51528 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 106.5.5.195 port 50719 ssh2,Failed password for <*> from <*> port <*> ssh2
message repeated 5 times: [ Failed password for root from 106.5.5.195 port 50719 ssh2],message repeated <*> times: [ Failed password for root from <*> port <*>]
Invalid user matlab from 52.80.34.196,Invalid user <*> from <*>
input_userauth_request: invalid user matlab [preauth],input_userauth_request: invalid user <*> [preauth]
Did not receive identification string from 188.132.244.89,Did not receive identification string from <*>
Invalid user 0 from 185.190.58.151,Invalid user <*> from <*>
Failed none for invalid user 0 from 185.190.58.151 port 55495 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2
PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.190.58.151,PAM <*> more authentication failures; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*>
error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],error: Received disconnect from <*>: <*>: No more user authentication methods available. [preauth]
Failed password for invalid user user from 103.99.0.122 port 62581 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user anonymous from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user anonymous [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user ubnt from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user ubnt [preauth],input_userauth_request: invalid user <*> [preauth]
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=103.99.0.122  user=uucp,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
Failed password for uucp from 103.99.0.122 port 64009 ssh2,Failed password for <*> from <*> port <*> ssh2
input_userauth_request: invalid user cisco [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user cisco from 103.99.0.122 port 58309 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user operator from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user operator [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user operator from 103.99.0.122 port 53492 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for invalid user admin from 185.190.58.151 port 49948 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for ftp from 103.99.0.122 port 56079 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user monitor from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user monitor [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user ftpuser from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user ftpuser [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user pi from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user pi [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user PlcmSpIp from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user PlcmSpIp [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user PlcmSpIp from 103.99.0.122 port 51966 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user Management from 103.99.0.122,Invalid user <*> from <*>
input_userauth_request: invalid user Management [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user Management from 103.99.0.122 port 55028 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
reverse mapping checking getaddrinfo for customer-187-141-143-180-sta.uninet-ide.com.mx [187.141.143.180] failed - POSSIBLE BREAK-IN ATTEMPT!,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!
Invalid user api from 185.190.58.151,Invalid user <*> from <*>
Failed password for invalid user api from 185.190.58.151 port 36894 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Did not receive identification string from 185.190.58.151,Did not receive identification string from <*>
Failed password for root from 187.141.143.180 port 50880 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 187.141.143.180 port 42938 ssh2,Failed password for <*> from <*> port <*> ssh2
input_userauth_request: invalid user eoor [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user butter from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user butter [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user redhat [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user postgres [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user nagios from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user www [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user abc from 187.141.143.180,Invalid user <*> from <*>
Invalid user ted from 187.141.143.180,Invalid user <*> from <*>
Failed password for invalid user ted from 187.141.143.180 port 59333 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user vnc from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user vnc [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user vnc from 187.141.143.180 port 60547 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for git from 187.141.143.180 port 33532 ssh2,Failed password for <*> from <*> port <*> ssh2
input_userauth_request: invalid user ghost [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user ghost from 187.141.143.180 port 34759 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
input_userauth_request: invalid user ubuntu [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user ubuntu from 187.141.143.180 port 35697 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for ftp from 187.141.143.180 port 36704 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for invalid user test from 187.141.143.180 port 37598 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user support from 103.207.39.16,Invalid user <*> from <*>
Invalid user deploy from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user deploy [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user deploy from 187.141.143.180 port 38606 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for uucp from 103.207.39.16 port 42435 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user admin from 103.207.39.16,Invalid user <*> from <*>
Invalid user oralce from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user oralce [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user oralce from 187.141.143.180 port 40988 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for invalid user oracle from 187.141.143.180 port 42342 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
input_userauth_request: invalid user nagios1 [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user nagios1 from 187.141.143.180 port 43647 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user postgres1 from 187.141.143.180,Invalid user <*> from <*>
Failed password for invalid user postgres1 from 187.141.143.180 port 45073 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user test1 from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user test2 [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user bssh [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user bssh from 187.141.143.180 port 49412 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=mysql,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
Failed password for mysql from 187.141.143.180 port 51060 ssh2,Failed password for <*> from <*> port <*> ssh2
input_userauth_request: invalid user magnos [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user magnos from 187.141.143.180 port 55517 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user ingrid from 187.141.143.180,Invalid user <*> from <*>
input_userauth_request: invalid user ingrid [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user jay [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user jay from 187.141.143.180 port 60259 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
input_userauth_request: invalid user cyrus [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user cyrus from 187.141.143.180 port 33574 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user FILTER from 104.192.3.34,Invalid user <*> from <*>
input_userauth_request: invalid user FILTER [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user FILTER from 104.192.3.34 port 33738 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Connection closed by 104.192.3.34 [preauth],Connection closed by <*> [preauth]
Accepted password for fztu from 119.137.62.142 port 49116 ssh2,Accepted password for <*> from <*> port <*> ssh2
pam_unix(sshd:session): session opened for user fztu by (uid=0),pam_unix(sshd:session): session opened for user <*> by (uid=<*>)
Failed password for invalid user matlab from 52.80.34.196 port 36060 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Received disconnect from 119.137.62.142: 11: disconnected by user,Received disconnect from <*>: <*>: disconnected by user
pam_unix(sshd:session): session closed for user fztu,pam_unix(sshd:session): session closed for user <*>
Failed none for invalid user 0 from 181.214.87.4 port 51889 ssh2,Failed none for invalid user <*> from <*> port <*> ssh2
Did not receive identification string from 181.214.87.4,Did not receive identification string from <*>
Received disconnect from 60.2.12.12: 11: Bye Bye [preauth],Received disconnect from <*>: <*>: Bye Bye [preauth]
Failed password for root from 60.2.12.12 port 15145 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 60.2.12.12 port 20658 ssh2,Failed password for <*> from <*> port <*> ssh2
Connection closed by 60.2.12.12 [preauth],Connection closed by <*> [preauth]
Invalid user admin from 119.4.203.64,Invalid user <*> from <*>
Failed password for invalid user admin from 119.4.203.64 port 2191 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Disconnecting: Too many authentication failures for admin [preauth],Disconnecting: Too many authentication failures for admin [preauth]
Connection closed by 1.237.174.253 [preauth],Connection closed by <*> [preauth]
Failed password for invalid user inspur from 183.136.162.51 port 26396 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Connection closed by 88.147.143.242 [preauth],Connection closed by <*> [preauth]
Invalid user zhangyan from 183.62.140.253,Invalid user <*> from <*>
input_userauth_request: invalid user zhangyan [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user dff [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user dff from 183.62.140.253 port 33902 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
input_userauth_request: invalid user cheng [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for invalid user cheng from 202.100.179.208 port 32891 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Invalid user oracle from 183.62.140.253,Invalid user <*> from <*>
pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=git,pam_unix(sshd:auth): authentication failure; logname= uid=<*> euid=<*> tty=ssh ruser= rhost=<*> user=<*>
Failed password for git from 183.62.140.253 port 48527 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user boot from 183.62.140.253,Invalid user <*> from <*>
input_userauth_request: invalid user boot [preauth],input_userauth_request: invalid user <*> [preauth]
input_userauth_request: invalid user 123456 [preauth],input_userauth_request: invalid user <*> [preauth]
Invalid user 123 from 183.62.140.253,Invalid user <*> from <*>
Failed password for root from 183.62.140.253 port 40121 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 183.62.140.253 port 32995 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for root from 183.62.140.253 port 34545 ssh2,Failed password for <*> from <*> port <*> ssh2
Invalid user sandeep from 88.147.143.242,Invalid user <*> from <*>
input_userauth_request: invalid user sandeep [preauth],input_userauth_request: invalid user <*> [preauth]
Failed password for root from 183.62.140.253 port 33150 ssh2,Failed password for <*> from <*> port <*> ssh2
fatal: Write failed: Connection reset by peer [preauth],fatal: Write failed: Connection reset by peer [preauth]
Failed password for invalid user 1234 from 103.99.0.122 port 62429 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for sshd from 103.99.0.122 port 49598 ssh2,Failed password for <*> from <*> port <*> ssh2
Failed password for invalid user guest from 103.99.0.122 port 52172 ssh2,Failed password for invalid user <*> from <*> port <*> ssh2
Failed password for root from 183.62.140.253 port 36027 ssh2,Failed password for <*> from <*> port <*> ssh2
