Content,EventTemplate
"Times: total = 40, boot = -340, init = 380, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
attempt_201706092018_0024_m_000000_970: Committed,attempt_<*>: Committed
Got assigned task 1125,Got assigned task <*>
Got assigned task 1127,Got assigned task <*>
Got assigned task 1128,Got assigned task <*>
Running task 44.0 in stage 24.0 (TID 1129),Running task <*> in stage <*> (TID <*>)
"Times: total = 38, boot = -390, init = 428, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Got assigned task 1135,Got assigned task <*>
Running task 82.0 in stage 24.0 (TID 1137),Running task <*> in stage <*> (TID <*>)
Got assigned task 1146,Got assigned task <*>
Running task 123.0 in stage 24.0 (TID 1150),Running task <*> in stage <*> (TID <*>)
Saved output of task 'attempt_201706092018_0024_m_000124_1151' to hdfs://10.10.34.11:9000/pjhe/test/1/_temporary/0/task_201706092018_0024_m_000124,Saved output of task 'attempt_<*>' to hdfs://<*>
Got assigned task 1155,Got assigned task <*>
Running task 160.0 in stage 24.0 (TID 1155),Running task <*> in stage <*> (TID <*>)
Finished task 164.0 in stage 24.0 (TID 1159). 2364 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Got assigned task 1166,Got assigned task <*>
Got assigned task 1180,Got assigned task <*>
Running task 2.0 in stage 25.0 (TID 1194),Running task <*> in stage <*> (TID <*>)
Got assigned task 1199,Got assigned task <*>
Reading broadcast variable 34 took 9 ms,Reading broadcast variable <*> took <*> ms
"Times: total = 38, boot = -727, init = 765, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 39, boot = -700, init = 739, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 39, boot = -690, init = 729, finish = 0","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Got assigned task 1204,Got assigned task <*>
"Times: total = 47, boot = -8758, init = 8800, finish = 5","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 55, boot = -8764, init = 8814, finish = 5","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Times: total = 59, boot = -8772, init = 8826, finish = 5","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
"Block rdd_42_2 stored as bytes in memory (estimated size 850.0 B, free 806.5 KB)","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
Got assigned task 1209,Got assigned task <*>
"Times: total = 65, boot = 10, init = 45, finish = 10","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Running task 19.0 in stage 26.0 (TID 1219),Running task <*> in stage <*> (TID <*>)
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:160424+7292,Input split: hdfs://<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:196884+7292,Input split: hdfs://<*>
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:204176+7292,Input split: hdfs://<*>
"Partition rdd_42_29 not found, computing it","Partition rdd_<*> not found, computing it"
Finished task 25.0 in stage 26.0 (TID 1225). 2705 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:218760+7292,Input split: hdfs://<*>
Got assigned task 1234,Got assigned task <*>
"Times: total = 50, boot = 3, init = 42, finish = 5","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Running task 36.0 in stage 26.0 (TID 1236),Running task <*> in stage <*> (TID <*>)
Got assigned task 1252,Got assigned task <*>
Running task 32.0 in stage 27.0 (TID 1272),Running task <*> in stage <*> (TID <*>)
"Times: total = 108, boot = 28, init = 79, finish = 1","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Running task 37.0 in stage 27.0 (TID 1277),Running task <*> in stage <*> (TID <*>)
Got assigned task 1279,Got assigned task <*>
Finished task 39.0 in stage 27.0 (TID 1279). 2267 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Got assigned task 1280,Got assigned task <*>
Got assigned task 1283,Got assigned task <*>
Reading broadcast variable 39 took 716 ms,Reading broadcast variable <*> took <*> ms
Finished task 3.0 in stage 28.0 (TID 1283). 2087 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
"Times: total = 49, boot = -793, init = 841, finish = 1","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Got assigned task 1291,Got assigned task <*>
Got assigned task 1295,Got assigned task <*>
Running task 17.0 in stage 28.0 (TID 1297),Running task <*> in stage <*> (TID <*>)
Got assigned task 1300,Got assigned task <*>
Got assigned task 1301,Got assigned task <*>
Got assigned task 1303,Got assigned task <*>
Running task 28.0 in stage 28.0 (TID 1308),Running task <*> in stage <*> (TID <*>)
Got assigned task 1310,Got assigned task <*>
Started reading broadcast variable 40,Started reading broadcast variable <*>
Running task 5.0 in stage 29.0 (TID 1325),Running task <*> in stage <*> (TID <*>)
"Times: total = 39, boot = 19, init = 19, finish = 1","Times: total = <*>, boot = <*>, init = <*>, finish = <*>"
Got assigned task 1337,Got assigned task <*>
Finished task 18.0 in stage 29.0 (TID 1338). 2128 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Finished task 23.0 in stage 29.0 (TID 1343). 2171 bytes result sent to driver,Finished task <*> in stage <*> (TID <*>). <*> bytes result sent to driver
Got assigned task 1354,Got assigned task <*>
